layer,first_mean_alert,first_cos_alert,worst_stage,worst_mean_abs,worst_cosine,input_hidden_mean,input_norm_mean,attn_output_mean,o_proj_mean,post_attn_norm_mean,gate_proj_mean,up_proj_mean,down_proj_mean,output_hidden_mean,output_hidden_cosine
24,layer24.input_hidden.bf16,none,layer24.output_hidden.bf16,0.057730842381715775,0.9999974966049194,0.05127448961138725,0.0017818048363551497,0.0030554947443306446,0.017103049904108047,0.0012353265192359686,0.00469913799315691,0.005062607116997242,0.025590047240257263,0.057730842381715775,0.9999974966049194
25,layer25.input_hidden.bf16,none,layer25.output_hidden.bf16,0.06532211601734161,0.9999974966049194,0.057730842381715775,0.0016040172195062041,0.0029465346597135067,0.02005857042968273,0.001244453713297844,0.004768530372530222,0.0051726726815104485,0.025690197944641113,0.06532211601734161,0.9999974966049194
26,layer26.input_hidden.bf16,none,layer26.output_hidden.bf16,0.07190513610839844,0.9999977350234985,0.06532211601734161,0.0019421853357926011,0.002334353979676962,0.011710023507475853,0.0013321777805685997,0.004975665360689163,0.00532228359952569,0.027987921610474586,0.07190513610839844,0.9999977350234985
27,layer27.input_hidden.bf16,none,layer27.output_hidden.bf16,0.07998809963464737,0.9999976754188538,0.07190513610839844,0.0021327310241758823,0.0034133726730942726,0.019520822912454605,0.0013898800825700164,0.005185116548091173,0.005550947040319443,0.027533242478966713,0.07998809963464737,0.9999976754188538
28,layer28.input_hidden.bf16,none,layer28.output_hidden.bf16,0.090143583714962,0.999997615814209,0.07998809963464737,0.002108946442604065,0.0026559371035546064,0.014129484072327614,0.0015333801275119185,0.005417454056441784,0.0057779839262366295,0.030529633164405823,0.090143583714962,0.999997615814209
29,layer29.input_hidden.bf16,none,layer29.output_hidden.bf16,0.10437755286693573,0.9999976754188538,0.090143583714962,0.0030356261413544416,0.0043368712067604065,0.020960701629519463,0.001714754500426352,0.00588266970589757,0.006404599640518427,0.03425426036119461,0.10437755286693573,0.9999976754188538
30,layer30.input_hidden.bf16,none,layer30.output_hidden.bf16,0.12139644473791122,0.999998152256012,0.10437755286693573,0.003877201583236456,0.00842035748064518,0.04429580643773079,0.0016463734209537506,0.006006941199302673,0.006659235805273056,0.04451834037899971,0.12139644473791122,0.999998152256012
31,layer31.input_hidden.bf16,none,layer31.output_hidden.bf16,0.14210128784179688,0.9999974370002747,0.12139644473791122,0.003824576735496521,0.0066329860128462315,0.03506418317556381,0.0017261721659451723,0.006467191968113184,0.007084697484970093,0.06040497496724129,0.14210128784179688,0.9999974370002747
32,layer32.input_hidden.bf16,none,layer32.output_hidden.bf16,0.19702835381031036,0.9999945759773254,0.14210128784179688,0.0047521949745714664,0.01091565191745758,0.05826989933848381,0.0020261751487851143,0.008314046077430248,0.008539014495909214,0.09763722121715546,0.19702835381031036,0.9999945759773254
33,layer33.input_hidden.bf16,none,layer33.output_hidden.bf16,0.24989815056324005,0.9999945759773254,0.19702835381031036,0.007033498492091894,0.008594293147325516,0.045226529240608215,0.002332538366317749,0.008925777859985828,0.00955334771424532,0.11929447948932648,0.24989815056324005,0.9999945759773254
34,layer34.input_hidden.bf16,none,layer34.output_hidden.bf16,0.546417236328125,0.9999905824661255,0.24989815056324005,0.009314312599599361,0.03180010989308357,0.22222928702831268,0.0032838047482073307,0.021403152495622635,0.019516896456480026,0.34073424339294434,0.546417236328125,0.9999905824661255
35,layer35.input_hidden.bf16,none,layer35.output_hidden.bf16,1.036248803138733,0.9999911785125732,0.546417236328125,0.010053202509880066,0.03791358694434166,0.2699040472507477,0.004079952836036682,0.03370368480682373,0.02805514447391033,0.6681631803512573,1.036248803138733,0.9999911785125732
